3_10/out:==== RAMD ==== GROMACS will be stopped after 1860450 steps.
3_11/out:==== RAMD ==== GROMACS will be stopped after 1411900 steps.
3_12/out:==== RAMD ==== GROMACS will be stopped after 866400 steps.
3_13/out:==== RAMD ==== GROMACS will be stopped after 4461650 steps.
3_14/out:==== RAMD ==== GROMACS will be stopped after 5951850 steps.
3_15/out:==== RAMD ==== GROMACS will be stopped after 2712250 steps.
3_16/out:==== RAMD ==== GROMACS will be stopped after 2993500 steps.
3_17/out:==== RAMD ==== GROMACS will be stopped after 6581900 steps.
3_18/out:==== RAMD ==== GROMACS will be stopped after 2441800 steps.
3_19/out:==== RAMD ==== GROMACS will be stopped after 3084400 steps.
3_1/out:==== RAMD ==== GROMACS will be stopped after 3507850 steps.
3_20/out:==== RAMD ==== GROMACS will be stopped after 7617950 steps.
3_2/out:==== RAMD ==== GROMACS will be stopped after 1104850 steps.
3_3/out:==== RAMD ==== GROMACS will be stopped after 1445200 steps.
3_4/out:==== RAMD ==== GROMACS will be stopped after 10330650 steps.
3_5/out:==== RAMD ==== GROMACS will be stopped after 4433500 steps.
3_6/out:==== RAMD ==== GROMACS will be stopped after 1794700 steps.
3_7/out:==== RAMD ==== GROMACS will be stopped after 1536300 steps.
3_8/out:==== RAMD ==== GROMACS will be stopped after 2414100 steps.
3_9/out:==== RAMD ==== GROMACS will be stopped after 1469900 steps.
